Species	Date Collected	Plot	Sex	Weight	Weight calibrated correctly																					
DM	7/16/13	2	F	None	Y																					
DM	7/16/13	7	M	33	Y																					
DM	7/16/13	3	M	None	Y																					
DM	7/16/13	1	M	None	Y																					
DM	7/18/13	3	M	40	Y																					
DM	7/18/13	7	M	48	Y																					
DM	7/18/13	4	F	29	Y																					
DM	7/18/13	6	F	37	Y																					
DO	8/19/13	8	F	52	Y																					
DO	10/17/13	3	F	33	Y																					
DO	10/17/13	3	F	50	Y																					
DO	12/10/13	9	F	40	Y																					
DO	12/10/13	1	M	45	Y																					
DO	12/11/13	8	F	41	Y																					
DS	11/12/13	9	F	117	Y																					
DS	11/13/13	11	F	126	Y																					
DS	11/13/13	17	M	132	N																					
DS	11/13/13	14	F	113	N																					
DS	11/13/13	11	F	122	Y																					
DS	11/13/13	4	F	107	Y																					
DS	11/13/13	4	F	115	Y																					
DM	1/9/14	1	M	40	Y																					
DM	1/9/14	1	F	36	Y																					
DM	3/13/14	1	F	51	Y																					
DM	3/13/14	1	F	44	Y																					
DS	3/13/14	1	F	146	Y																					
NA	1/8/14	2	None	None	Y																					
DM	1/8/14	2	M	44	Y																					
PF	1/8/14	2	F	7	Y																					
DM	1/8/14	2	M	45	Y																					
OT	1/8/14	2	None	None	Y																					
DS	1/8/14	2	M	157	N																					
OX	1/8/14	2	None	None	Y																					
NA	2/18/14	2	M	218	N																					
PF	2/18/14	2	F	7	Y																					
DM	2/18/14	2	M	52	Y																					
PF	3/11/15	3	M	8	Y																					
NA	4/8/15	3	F	None	Y																					
None	5/6/15	3	None	None	Y																					
NA	5/18/15	3	F	182	Y																					
OT	6/9/15	3	F	29	Y																					
NA	7/8/15	3	F	115	Y																					
NA	7/8/15	3	M	190	Y																					
DM	1/8/78	4	F	37	Y																					
DM	1/8/78	4	M	None	Y																					
DM	1/8/78	4	F	48	Y																					
DO	1/8/78	4	M	52	Y																					
OL	1/8/78	4	M	35	Y																					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										